Voltage,Current,Power,Relay_1,Relay_2,Battery_Level,Hour_of_Day,Load_Type,Is_Anomaly,Predicted_Power_Next
232.7791315,0.052888664,12.31137731,0,0,100,0,0,0,-12.10843032
225.8611303,-0.053610067,-12.10843032,0,0,100.0001211,0,0,0,1.737607617
227.6986896,0.007631171,1.737607617,0,0,100.0001037,0,0,0,13.48841071
229.0263965,0.058894568,13.48841071,0,0,99.99996882,0,0,0,32.66594434
232.5558559,0.14046494,32.66594434,0,0,99.99964216,0,0,0,33.3046105
231.5170082,0.143853839,33.3046105,0,0,99.99930912,0,0,0,14.27493259
229.3083702,0.062252122,14.27493259,0,0,99.99916637,0,0,0,8.490964386
232.0757073,0.036587045,8.490964386,0,0,99.99908146,0,0,0,22.91519462
231.2619567,0.09908761,22.91519462,0,0,99.99885231,0,0,0,-5.236166219
229.8497732,-0.02278082,-5.236166219,0,0,99.99890467,0,0,0,-2.723580047
228.661399,-0.011910974,-2.723580047,0,0,99.99893191,0,0,0,16.44845389
228.0562271,0.072124555,16.44845389,0,0,99.99876742,0,0,0,10.59377952
230.9779361,0.045864898,10.59377952,0,0,99.99866148,0,0,0,18.94649594
231.2123475,0.081944136,18.94649594,0,0,99.99847202,0,0,0,14.4080703
229.8699739,0.062679218,14.4080703,0,0,99.99832794,0,0,0,-4.331411341
227.6685783,-0.019025073,-4.331411341,0,0,99.99837125,0,0,0,15.94486653
230.2651864,0.069245667,15.94486653,0,0,99.9982118,0,0,0,20.41153115
228.4100949,0.089363525,20.41153115,0,0,99.99800769,0,0,0,21.75486534
225.4919174,0.096477362,21.75486534,0,0,99.99779014,0,0,0,6.946340501
227.296998,0.030560635,6.946340501,0,0,99.99772068,0,0,0,6.434893234
227.9758464,0.028226206,6.434893234,0,0,99.99765633,0,0,0,13.23207943
228.6104184,0.057880474,13.23207943,0,0,99.99752401,0,0,0,11.57259784
229.5667555,0.0504106,11.57259784,0,0,99.99740828,0,0,0,2.433236861
228.8186921,0.010633908,2.433236861,0,0,99.99738395,0,0,0,3.528786515
229.1675927,0.015398279,3.528786515,0,0,99.99734866,0,0,0,4.431898019
229.840358,0.019282506,4.431898019,0,0,99.99730434,0,0,0,17.19883282
231.9784369,0.074139791,17.19883282,0,0,99.99713235,0,0,0,31.26001662
226.2792615,0.138147952,31.26001662,0,0,99.99681975,0,0,0,1.780673763
