Voltage,Current,Power,Relay_1,Relay_2,Battery_Level,Hour_of_Day,Load_Type,Is_Anomaly,Predicted_Power_Next,Is_Daytime,Power_Delta,Current_Delta,Voltage_Delta,Power_Rolling_Mean,Current_Rolling_Std
232.7791315,0.052888664,12.31137731,0,0,100,0,0,0,-12.10843032,0,0,0,0,12.31137731,0
225.8611303,-0.053610067,-12.10843032,0,0,100.0001211,0,0,0,1.737607617,0,-24.41980763,-0.106498731,-6.918001155,0.101473497,0.075305975
227.6986896,0.007631171,1.737607617,0,0,100.0001037,0,0,0,13.48841071,0,13.84603793,0.061241238,1.837559222,0.646851537,0.0534489
229.0263965,0.058894568,13.48841071,0,0,99.99996882,0,0,0,32.66594434,0,11.75080309,0.051263397,1.327706918,3.85724133,0.052011224
232.5558559,0.14046494,32.66594434,0,0,99.99964216,0,0,0,33.3046105,0,19.17753363,0.081570372,3.529459375,9.618981932,0.071447623
231.5170082,0.143853839,33.3046105,0,0,99.99930912,0,0,0,14.27493259,0,0.638666159,0.003388899,-1.038847638,13.81762857,0.085374918
229.3083702,0.062252122,14.27493259,0,0,99.99916637,0,0,0,8.490964386,0,-19.02967791,-0.081601718,-2.208638048,19.09430115,0.058516432
232.0757073,0.036587045,8.490964386,0,0,99.99908146,0,0,0,22.91519462,0,-5.783968201,-0.025665077,2.767337119,20.4449725,0.050061837
231.2619567,0.09908761,22.91519462,0,0,99.99885231,0,0,0,-5.236166219,0,14.42423023,0.062500565,-0.813750588,22.33032929,0.047287589
229.8497732,-0.02278082,-5.236166219,0,0,99.99890467,0,0,0,-2.723580047,0,-28.15136084,-0.12186843,-1.412183488,14.74990717,0.063033744
228.661399,-0.011910974,-2.723580047,0,0,99.99893191,0,0,0,16.44845389,0,2.512586172,0.010869845,-1.188374255,7.544269065,0.050901862
228.0562271,0.072124555,16.44845389,0,0,99.99876742,0,0,0,10.59377952,0,19.17203393,0.084035529,-0.605171822,7.978973325,0.052503617
230.9779361,0.045864898,10.59377952,0,0,99.99866148,0,0,0,18.94649594,0,-5.854674369,-0.026259657,2.921708919,8.399536351,0.052753802
231.2123475,0.081944136,18.94649594,0,0,99.99847202,0,0,0,14.4080703,0,8.352716422,0.036079237,0.234411432,7.605796615,0.048011063
229.8699739,0.062679218,14.4080703,0,0,99.99832794,0,0,0,-4.331411341,0,-4.53842564,-0.019264917,-1.342373545,11.53464392,0.037150557
227.6685783,-0.019025073,-4.331411341,0,0,99.99837125,0,0,0,15.94486653,0,-18.73948164,-0.081704291,-2.201395602,11.21307766,0.040137335
230.2651864,0.069245667,15.94486653,0,0,99.9982118,0,0,0,20.41153115,0,20.27627787,0.088270741,2.596608107,11.11236019,0.039736258
228.4100949,0.089363525,20.41153115,0,0,99.99800769,0,0,0,21.75486534,0,4.466664614,0.020117857,-1.855091542,13.07591051,0.043679239
225.4919174,0.096477362,21.75486534,0,0,99.99779014,0,0,0,6.946340501,0,1.343334197,0.007113837,-2.918177469,13.6375844,0.046179325
227.296998,0.030560635,6.946340501,0,0,99.99772068,0,0,0,6.434893234,0,-14.80852484,-0.065916727,1.805080547,12.14523844,0.047872536
227.9758464,0.028226206,6.434893234,0,0,99.99765633,0,0,0,13.23207943,0,-0.511447266,-0.002334428,0.678848372,14.29849935,0.032078236
228.6104184,0.057880474,13.23207943,0,0,99.99752401,0,0,0,11.57259784,0,6.797186191,0.029654268,0.634572091,13.75594193,0.031907283
229.5667555,0.0504106,11.57259784,0,0,99.99740828,0,0,0,2.433236861,0,-1.659481586,-0.007469874,0.956337096,11.98815527,0.027557456
228.8186921,0.010633908,2.433236861,0,0,99.99738395,0,0,0,3.528786515,0,-9.139360978,-0.039776692,-0.748063399,8.123829572,0.018833684
229.1675927,0.015398279,3.528786515,0,0,99.99734866,0,0,0,4.431898019,0,1.095549654,0.004764371,0.348900561,7.440318775,0.020939304
229.840358,0.019282506,4.431898019,0,0,99.99730434,0,0,0,17.19883282,0,0.903111504,0.003884227,0.672765304,7.039719732,0.021762546
231.9784369,0.074139791,17.19883282,0,0,99.99713235,0,0,0,31.26001662,0,12.7669348,0.054857285,2.138078865,7.833070411,0.027336376
226.2792615,0.138147952,31.26001662,0,0,99.99681975,0,0,0,1.780673763,0,14.0611838,0.064008161,-5.699175346,11.77055417,0.0548447
231.6600442,0.007686581,1.780673763,0,0,99.99680195,0,0,0,22.19726582,0,-29.47934286,-0.130461371,5.380782634,11.64004155,0.055406962
233.5126574,0.095058084,22.19726582,0,0,99.99657997,0,0,0,15.02527841,0,20.41659206,0.087371503,1.852613216,15.37373741,0.054072199
229.1544341,0.065568351,15.02527841,0,0,99.99642972,0,0,0,3597.237356,0,-7.171987409,-0.029489733,-4.358223276,17.49241349,0.047446046
157.0000895,22.91232679,3597.237356,0,0,99.99620603,0,0,1,2.999925483,0,3582.212078,22.84675844,-72.15434459,733.5001182,10.21255082
228.2317105,0.01314421,2.999925483,0,0,99.99617604,0,0,0,19.33489899,0,-3594.237431,-22.89918258,71.23162104,727.8481,10.22648172
227.7242318,0.084904882,19.33489899,0,0,99.99598269,0,0,0,16.71744393,0,16.33497351,0.071760672,-0.507478747,731.358945,10.21783203
228.8753649,0.073041692,16.71744393,0,0,99.99581551,0,0,0,19.29568408,0,-2.617455058,-0.01186319,1.151133129,730.2629806,10.22028161
229.9699295,0.083905248,19.29568408,0,0,99.99562256,0,0,0,7.10962805,0,2.578240144,0.010863556,1.094564607,731.1170618,10.21823745
229.35473,0.030998393,7.10962805,0,0,99.99555146,0,0,0,11.62659853,0,-12.18605603,-0.052906855,-0.615199578,13.09151611,0.033011842
229.8567697,0.050581928,11.62659853,0,0,99.99543519,0,0,0,23.09675805,0,4.516970482,0.019583535,0.502039737,14.81685072,0.023354764
228.4876866,0.101085351,23.09675805,0,0,99.99520423,0,0,0,39.35545105,0,11.47015952,0.050503423,-1.369083085,15.56922253,0.027593089
230.9700982,0.170391974,39.35545105,0,0,99.99481067,0,0,0,-0.25361825,0,16.25869299,0.069306623,2.482411607,20.09682395,0.053907053
231.1059059,-0.001097411,-0.25361825,0,0,99.99481321,0,0,0,31.03242228,0,-39.6090693,-0.171489386,0.13580771,16.18696349,0.06707665
229.8448808,0.135014633,31.03242228,0,0,99.99450288,0,0,0,6.888082698,0,31.28604053,0.136112045,-1.261025119,20.97152233,0.067929101
227.960125,0.030216174,6.888082698,0,0,99.994434,0,0,0,32.31787472,0,-24.14433958,-0.10479846,-1.88475585,20.02381916,0.071490394
234.581378,0.137768287,32.31787472,0,0,99.99411082,0,0,0,0.866004391,0,25.42979202,0.107552114,6.621253031,21.8680425,0.075074028
228.2801573,0.003793603,0.866004391,0,0,99.99410216,0,0,0,3.561011689,0,-31.45187033,-0.133974684,-6.301220663,14.17015317,0.069727583
230.0654915,0.015478252,3.561011689,0,0,99.99406655,0,0,0,12.09718609,0,2.695007299,0.011684649,1.785334199,14.93307915,0.066340644
233.2083287,0.051872873,12.09718609,0,0,99.99394558,0,0,0,5.900440136,0,8.536174401,0.036394621,3.142837157,11.14603192,0.053388498
228.919574,0.025775167,5.900440136,0,0,99.99388658,0,0,0,11.37609979,0,-6.196745955,-0.026097707,-4.288754717,10.9485034,0.053790135
230.0344264,0.049453901,11.37609979,0,0,99.99377282,0,0,0,2.872793362,0,5.475659649,0.023678735,1.114852409,6.760148418,0.021034214
232.6509132,0.012348085,2.872793362,0,0,99.99374409,0,0,0,24.3610071,0,-8.503306423,-0.037105816,2.616486852,7.161506212,0.018657034
232.5945259,0.104735943,24.3610071,0,0,99.99350048,0,0,0,27.6418166,0,21.48821374,0.092387858,-0.056387308,11.32150529,0.035346775
228.7303715,0.120848912,27.6418166,0,0,99.99322406,0,0,0,28.35382903,0,3.280809506,0.016112969,-3.864154423,14.4304314,0.048016954
230.1901411,0.123175688,28.35382903,0,0,99.99294052,0,0,0,4.621834608,0,0.712012427,0.002326776,1.459769641,18.92110918,0.049071817
